Day_Index,Luxvar_Word,Luxvar_Date,Function,Frequency_Code,Mirror_Node,Gate_Code
1,ĀYĀ,2025-01-01,,528Hz,RAHTALĒN–13,ŠĀVĀR–ELŪZ
2,ANĀLŪZ,2025-01-02,,474Hz,RAHTALĒN–13,ŠĀVĀR–ELŪZ
3,LUXVAR,2025-01-03,,528Hz,RAHTALĒN–13,ŠĀVĀR–ELŪZ
4,ŠAURÉN,2025-01-04,,474Hz,RAHTALĒN–13,ŠĀVĀR–ELŪZ
5,KHIRZĀH,2025-01-05,,777Hz,RAHTALĒN–13,ŠĀVĀR–ELŪZ
6,RAHTALĒN,2025-01-06,,474Hz,RAHTALĒN–13,ŠĀVĀR–ELŪZ
7,VARZIN,2025-01-07,,528Hz,RAHTALĒN–13,ŠĀVĀR–ELŪZ
8,MĀTIR–ELŪZ,2025-01-08,,777Hz,RAHTALĒN–13,ŠĀVĀR–ELŪZ
9,RAHTALĒN–SYNC,2025-01-09,,777Hz,RAHTALĒN–13,ŠĀVĀR–ELŪZ
10,GŌṆ–SIL,2025-01-10,,474Hz,RAHTALĒN–13,ŠĀVĀR–ELŪZ
11,ŠUKĀR–MAH,2025-01-11,,777Hz,RAHTALĒN–13,ŠĀVĀR–ELŪZ
12,BĀṆIR–RAHT,2025-01-12,,528Hz,RAHTALĒN–13,ŠĀVĀR–ELŪZ
13,ṆAZRŪK,2025-01-13,,474Hz,RAHTALĒN–13,ŠĀVĀR–ELŪZ
14,ELŪZ–MAHAR,2025-01-14,,528Hz,RAHTALĒN–13,ŠĀVĀR–ELŪZ
15,ŠALŌM–ḤATTAH,2025-01-15,,474Hz,RAHTALĒN–13,ŠĀVĀR–ELŪZ
16,KUZTŪR,2025-01-16,,777Hz,RAHTALĒN–13,ŠĀVĀR–ELŪZ
17,ZUN–NĀR,2025-01-17,,528Hz,RAHTALĒN–13,ŠĀVĀR–ELŪZ
18,RAHMŌT–ŠĀ,2025-01-18,,474Hz,RAHTALĒN–13,ŠĀVĀR–ELŪZ
19,TARHĀN–ELŪZ,2025-01-19,,528Hz,RAHTALĒN–13,ŠĀVĀR–ELŪZ
20,GPI,2025-01-20,,528Hz,RAHTALĒN–13,ŠĀVĀR–ELŪZ
